HCL AppScan on Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Description,Report Date U T C,Total Issues In The Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Static_jazzcalm_workspace_2023-02-17_04-22-33_2023-03-02,,2023-03-02T10:34:18Z,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Impact,Business Unit,Description,Hosts,Max Severity,Risk Rating,Testing Status,Url,Date Created,Last Updated,Availability Requirement,Collateral Damage Potential,Confidentiality Requirement,Integrity Requirement,Target Distribution,Business Owner,Development Contact,Tester,,,,,,,,,,,,,,,,
7bf95b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:855,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
7ef95b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1031,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
81f95b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1047,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
84f95b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1049,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
87f95b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1051,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
8af95b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1054,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
a7f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:258,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
8df95b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1059,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
e63654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\log.js:58,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\log.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
e93654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\log.js:69,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\log.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
ec3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\log.js:81,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\log.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
b0f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:852,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
f53654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\properties.js:469,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\properties.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
b3f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1022,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
b6f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1038,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
b9f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1040,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
bcf85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1042,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
bff85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1045,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
043654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1064,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
f83654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\properties.js:535,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\properties.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
